x1,x2
Afghanistan,31098161
Albania,3017282
Algeria,38083690
American Samoa,53808
Andorra,85389
Angola,25353587
Anguilla,15728
Antigua and Barbuda,89990
Argentina,42635451
Armenia,3064086
Aruba,109110
Australia,22946421
Austria,8562327
Azerbaijan,9590337
"Bahamas, The",328289
Bahrain,1281297
Bangladesh,151383334
Barbados,293480
Belarus,9623929
Belgium,11147559
Belize,349379
Benin,10134506
Bermuda,69537
Bhutan,787669
Bolivia,10581190
Bosnia and Herzegovina,3874948
Botswana,2078279
Brazil,203079584
Brunei,415374
Bulgaria,7267962
Burkina Faso,17109478
Burma,53044168
Burundi,10068783
Cabo Verde,530549
Cambodia,14807531
Cameroon,22689999
Canada,35386802
Cayman Islands,53657
Central African Republic,4938250
Chad,13385231
Chile,17217196
China,1362866209
Colombia,44640800
Comoros,756978
Congo (Brazzaville),4574052
Congo (Kinshasa),80747292
Cook Islands,10414
Costa Rica,4694498
Croatia,4375160
Cuba,11250503
Curaçao,146844
Cyprus,1155556
Czechia,10609322
Côte d'Ivoire,23284095
Denmark,5617172
Djibouti,790955
Dominica,73674
Dominican Republic,9772789
Ecuador,15432555
Egypt,88110608
El Salvador,6120762
Equatorial Guinea,1146895
Eritrea,5687507
Estonia,1279726
Eswatini,1040730
Ethiopia,89333993
Faroe Islands,49701
Fiji,896215
Finland,5430351
France,65966626
French Polynesia,277207
Gabon,1808969
"Gambia, The",1913150
Gaza Strip,1629166
Georgia,4942158
Germany,82056877
Ghana,26635950
Gibraltar,28992
Greece,10872247
Greenland,57672
Grenada,109675
Guam,165313
Guatemala,15125716
Guernsey,65689
Guinea,10351170
Guinea-Bissau,1624312
Guyana,786248
Haiti,9921160
Honduras,8429141
Hong Kong,7082123
Hungary,9929530
Iceland,323744
India,1267220075
Indonesia,255144559
Iran,77668796
Iraq,32911448
Ireland,4775487
Isle of Man,86058
Israel,7768325
Italy,61433746
Jamaica,2822413
Japan,127038622
Jersey,95578
Jordan,7845361
Kazakhstan,17731751
Kenya,45488358
Kiribati,103386
"Korea, North",24767164
"Korea, South",50063069
Kosovo,1847268
Kuwait,2695800
Kyrgyzstan,5547741
Laos,6740794
Latvia,2029430
Lebanon,5145013
Lesotho,2046245
Liberia,4243822
Libya,5950347
Liechtenstein,37010
Lithuania,2943358
Luxembourg,545475
Macau,586116
Madagascar,22561376
Malawi,16443231
Malaysia,30399783
Maldives,393812
Mali,15814633
Malta,426039
Marshall Islands,69610
Mauritania,3434130
Mauritius,1291247
Mexico,119228748
"Micronesia, Federated States of",105995
Moldova,3616348
Monaco,30519
Mongolia,2911859
Montenegro,621603
Montserrat,5187
Morocco,33440544
Mozambique,25009061
Namibia,2292848
Nauru,9396
Nepal,27907012
Netherlands,16802870
New Caledonia,264052
New Zealand,4377391
Nicaragua,5777371
Niger,17505864
Nigeria,179546969
North Macedonia,2094132
Northern Mariana Islands,53260
Norway,5085513
Oman,3147449
Pakistan,201581954
Palau,21029
Panama,3654178
Papua New Guinea,7643865
Paraguay,6619307
Peru,29806584
Philippines,98448417
Poland,38618538
Portugal,10534203
Puerto Rico,3589468
Qatar,2043293
Romania,20136346
Russia,143447406
Rwanda,10831401
Saint Barthelemy,7299
"Saint Helena, Ascension, and Tristan da Cunha",7772
Saint Kitts and Nevis,51111
Saint Lucia,162391
Saint Martin,31248
Saint Pierre and Miquelon,5808
Saint Vincent and the Grenadines,103092
Samoa,195471
San Marino,32435
Sao Tome and Principe,186659
Saudi Arabia,30162427
Senegal,13885937
Serbia,7124084
Seychelles,90508
Sierra Leone,6723830
Singapore,5383565
Sint Maarten,39763
Slovakia,5441501
Slovenia,2095552
Solomon Islands,592741
Somalia,10282585
South Africa,52418463
South Sudan,11187790
Spain,46290810
Sri Lanka,21673209
Sudan,37257113
Suriname,562748
Sweden,9647647
Switzerland,7994737
Syria,21064653
Taiwan,23311860
Tajikistan,7905676
Tanzania,48767600
Thailand,67413873
Timor-Leste,1172274
Togo,6715494
Tonga,106304
Trinidad and Tobago,1340855
Tunisia,10901720
Turkey,77341642
Turkmenistan,5110940
Turks and Caicos Islands,47820
Tuvalu,10707
Uganda,33809510
Ukraine,45388613
United Arab Emirates,8930981
United Kingdom,63872733
United States,315993715
Uruguay,3326597
Uzbekistan,28665947
Vanuatu,261325
Venezuela,29886014
Vietnam,93859918
"Virgin Islands, British",31878
"Virgin Islands, U.S.",108041
Wallis and Futuna,15478
West Bank,2547990
Yemen,25310624
Zambia,14964352
Zimbabwe,13107407
