Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159,Column160,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168
0.0,17653.9795383,19470.6795503,3467.8379282,16871.9148809,6044.0654001,15717.0065293,17382.1913796,17787.4541811,8163.2623529,1896.8292252,14029.5535321,8731.3221678,12705.9805813,1158.8550005,7172.1941993,16157.8319432,2455.0788399,4126.6716307,3499.6820102,6118.4482273,922.1402054,18759.7899532,13134.7842083,1123.3375389,970.6961059,8517.3692257,14013.1752519,16019.291184,8268.3275982,6388.176073,6340.7427094,17349.9451012,8263.6114194,3883.2876247,13382.6031139,6219.7847315,17424.5046392,10494.2024146,8539.4110786,2191.7629527,18306.5165907,4305.340725,7383.8900512,5421.0800062,3887.0866046,8297.6579766,13246.623386,8879.7340133,14960.7607977,16965.6019178,18298.8352343,4961.6748609,7433.2762796,6622.9236224,3571.3101031,2920.9693915,11524.4494611,18838.9220295,5281.51591,12190.1902252,5607.0482582,4487.919734,9449.5034967,19902.3621873,15841.8554137,13306.5882155,7959.0381953,8104.4396044,16303.4280664,8303.2214322,7309.7401307,3375.7182758,7131.2180538,10121.2961733,1069.1397606,10815.0210275,1760.2380209,4159.4765978,12230.1455742,14869.4132538,7693.0936233,5468.8255518,17353.2945217,7267.1922035,2765.8345207,11094.1075143,9290.1705155,2884.443014,10083.3732627,12105.8557847,10819.6449374,10606.0246774,18801.4871524,4739.2904923,14627.4993242,17832.3413732,19300.3829906,16977.5021795,2327.8217904,10065.8512958,9879.9100786,14154.713858,5507.9938127,3157.9743891,19498.5836024,6737.4210171,15248.8499737,2913.2368401,15413.6858658,2550.1833366,11827.311303,17656.6818928,15779.5219483,11728.1998367,16166.7155576,4962.9594754,12478.7465182,14741.8600354,2861.6217725,11717.7249171,14137.9282353,11239.0981353,3145.7766819,8093.9269256,1466.3132503,1106.8208113,11024.794361,18344.8741547,19061.901903,4772.0777999,12815.7982657,17796.3960899,2931.1562565,15398.5671938,14031.521748,15955.0273228,15513.4510446,11384.4612413,3986.3851644,14922.5442503,3665.189216,3146.2523315,13095.9424028,8178.8546528,18608.5275303,18941.1651471,16335.9248906,6995.5280849,12175.6910984,14207.1269479,18872.7709651,10339.5488667,6046.3626258,11167.7136005,15086.4648124,8783.7669305,6745.3700241,11015.0921313,1749.6866243,15896.079066,18804.9156907,7756.805466,13155.1498362,18523.5558667,2113.7876751,11669.1764418,3505.2999548
17653.9795383,9.5e-5,2101.6442663,16777.5558412,2940.9354944,15692.7608798,2856.2593712,720.3481503,4225.9162601,13694.9308131,15780.0177889,5728.0325774,9457.0430975,9546.6536349,16896.615679,12724.7808229,6261.1910881,16330.6398303,13756.5843901,18826.2686051,11605.049883,18575.5756744,1812.876358,7828.4782916,18495.209769,16862.6837797,12507.6516041,8285.9307599,1718.0192406,9431.5847005,14635.1090605,14158.9383272,2697.8639082,9424.1237644,18458.4994816,5747.3085043,15879.3776609,4387.3403773,7367.7426775,9178.231287,18621.8869755,1098.577183,18043.4701453,13110.0957187,14110.506172,16741.992719,10508.32177,9130.699095,12720.5308829,6741.0863889,4850.9838599,2522.7504884,16562.3239523,11189.0043059,13256.8238098,15161.1270729,16534.842212,8181.8315901,3581.2513368,17138.3804808,9824.5938045,12548.7376883,14933.0915876,8238.1930105,2375.7859386,1976.6505591,4347.8053031,10685.5366894,12392.8438304,5642.3086445,10588.4969427,12004.6688846,18986.6365028,10620.0501521,8800.7924938,16828.4375695,9523.0830061,18591.9254259,17259.9157352,10187.1769993,2905.3099696,13441.9937572,12430.3220712,1657.5126819,15012.6428842,18437.415201,9627.4696814,8409.9868778,17328.5746572,12137.6937544,5607.8270915,6848.290776,7548.8954387,1160.8572345,17680.1979438,4796.6147175,2696.278087,1728.0050611,3568.1375046,17142.4485576,12224.9947399,12476.3581234,6795.6342043,16756.4865713,14634.249741,2454.4778176,11788.6707872,7106.4666522,16081.4059888,5605.5070026,15126.5496075,5953.5460633,2117.2924016,6589.3982864,9917.7382056,5394.3941774,12844.7716497,8918.2527884,3927.6222457,17233.5924349,6014.518305,3624.8326266,8513.5081211,17001.293726,10901.6374065,18345.2912112,18336.3829219,9340.2372478,1669.5886632,1780.4445105,14138.0388973,9520.1937313,3411.9017119,17566.0611598,2258.8047717,4734.5370138,4294.8491574,6098.6537853,11001.508212,14650.8322698,7415.0477212,16036.0524908,19242.3336173,5316.9366642,9771.4810441,3810.9678622,1607.0907788,2961.0595015,10658.4896118,5514.2448499,4282.8137354,1760.5681829,11624.3255397,13354.197105,8298.6363428,5375.0247062,10628.3771235,13452.9876661,8029.8007905,18740.8297187,5482.1318106,2773.3276407,14520.709675,4518.8858862,1948.1308232,19256.6556405,6350.2514949,14148.8515738
19470.6795503,2101.6442663,0.0,16251.0695182,3465.1563978,14534.9407891,3774.2955485,2239.5164218,2201.7460146,12414.6914849,17850.1521755,5480.7236288,11342.1083767,7466.6421912,18964.1975919,13330.7594891,4214.7665923,17929.0738443,15387.848561,16916.8190317,13472.4018707,19272.7810431,715.0269101,7443.5560554,19399.4846235,18963.8000162,11258.4384787,6498.2959769,3804.2498141,11349.9541091,14213.6991585,13354.2074185,3005.8406036,11365.7710252,16371.2475305,6909.8799043,14309.1842212,2470.4896462,9058.4913511,11066.6818456,18375.5131821,1263.3298361,16118.8479008,12295.4687087,14131.4662098,15892.7346483,11176.5608227,7213.0779442,11718.7773197,5642.3488326,3637.8136586,1222.0874445,15626.0445487,12796.6308111,13883.462704,16753.3092176,16675.4195261,8906.0966632,1594.3087893,15063.5364673,7858.3524719,13875.019118,15063.2935347,10337.2361509,456.2013744,4024.8705436,6418.0600157,11512.0277928,12460.5104904,4293.4866692,11990.9458714,12201.510324,17020.3625412,12448.5947948,10161.8660002,18404.9566864,9715.3192896,18809.0838102,15790.9633962,8119.1213444,4745.1461923,12118.3062506,14487.2542787,2767.2494525,12935.044936,17802.6140889,9474.4852743,10511.1204057,17712.1144135,10437.9594784,7708.8355039,8939.1715522,8892.0673232,1072.7560051,15617.0000879,4854.3067406,1677.7189096,387.9076143,3493.4244928,17302.631013,10137.484849,10581.4331283,6416.4947968,14692.7393083,16732.3160489,352.8579916,12733.2630991,5005.2970147,16613.5769828,4275.2387513,17203.9617735,8038.4610943,1814.0252967,4702.5368903,8184.4868189,3661.3861154,14580.1141254,8123.5488913,4735.8549844,17729.1463682,8113.0522613,5710.2666446,8292.3852792,17442.4168457,11389.2278111,19125.7823257,19465.8432724,9507.2431916,1869.0780803,437.6471058,14720.61044,7419.6940061,2747.9846097,17672.1578499,4309.7951887,5440.7758792,4498.6775113,5089.52327,9059.2075242,16298.2635763,5574.821812,15946.3937818,17143.5591722,7016.9089363,11793.59095,1830.6112669,591.8335873,3918.8396964,12700.7568785,7615.2032812,5277.4319535,611.430348,10234.2965215,14388.0398901,9222.6081195,4498.4560921,11620.6557438,12889.6386459,8462.6172968,18796.4259166,4696.4255672,886.8529118,12442.6595535,6616.5319681,947.2558288,18355.400592,7853.3446024,16170.7353107
3467.8379282,16777.5558412,16251.0695182,0.0,19699.9601337,7431.4437969,13937.8089194,16057.2355579,14399.4751555,9203.6550011,4792.8194299,11143.2188691,11839.6952641,10068.8328952,4618.0537494,10354.1924483,13917.5392947,5887.9808318,4891.1116029,4155.5752912,7181.0616397,3176.7699122,15871.7372325,15358.057579,3779.8517278,4364.2040926,5059.6124763,13194.5686049,16632.4145718,9195.7983251,8659.5627743,2897.8931765,19254.3612539,9282.0492581,3365.8315938,16825.3147868,6931.320913,13983.6259665,10442.3115267,9320.9144459,4444.5703632,16146.7131523,4661.5277745,3961.283702,2705.2303,594.3525531,6455.2532693,12109.7577439,10332.1860514,15683.5404785,16851.7112342,15108.3638558,6692.7164069,10856.1452949,9802.051009,7035.8637398,1064.0957443,14881.0064611,15952.7967866,4749.913558,9174.5132053,5294.264416,1999.0970202,11338.6981994,16450.0246558,16802.7900856,14190.1901075,6393.0361053,10882.4067013,16129.336232,11766.0918052,4807.3984357,3971.0007227,7905.9518828,13574.034274,3189.3250524,13753.5975421,4220.7666799,1714.3749194,10489.9447553,14534.8107303,4275.9101798,8426.8579251,18416.3101077,5363.2572819,4805.8317159,13662.1428654,11277.4914851,5689.406408,10049.2936847,13793.4959399,12365.2884719,9782.0309281,17000.9544631,4469.0646917,12014.4016762,14717.5071573,16506.6123662,19068.3915419,1249.1987879,7801.2138868,9290.2186257,16339.0459176,3992.9393871,6162.5586787,16065.4247247,5478.2884903,12663.8278784,1742.3042884,11977.1387341,5294.3372418,13843.8582112,14979.3972671,14284.4334635,8411.3130101,12708.9453928,5822.822987,14073.9012352,12878.3456981,5740.1754699,13557.6160751,15611.5313254,8309.4917734,6018.7186251,5984.5448644,4213.2165841,3927.4781582,13942.23449,18057.8914103,16156.6114941,3063.2548009,10424.9490218,18179.0605985,5545.0660415,15567.7768133,12071.0250547,18959.1926974,16315.2015109,10416.5913681,7453.3783951,13769.1777795,928.7997793,3287.2850233,16088.0810365,11009.1611455,15854.4768529,16213.9438511,19305.639705,8674.5805127,13709.3380088,12589.0821315,16005.5488328,10991.0839063,9421.208451,14598.9178971,11822.4638684,12198.7126368,3434.8723572,8775.7105602,4087.4309028,17071.4496944,15383.6178706,5758.3941636,14384.0857522,15601.4954876,3863.0415417,11064.5157575,5708.6424155
16871.9148809,2940.9354944,3465.1563978,19699.9601337,0.0,12884.3311336,5788.6964713,3661.0622698,5358.3326021,11072.2486665,15475.4224893,8558.4071125,8405.6400637,9820.299544,15716.7474858,10019.732341,5976.5766365,14466.5174378,15168.5366847,16165.168258,12858.5927115,17192.6811652,3831.5902497,4953.892527,16591.6891311,15959.2675047,14684.0767604,6859.1815018,3194.0235411,10800.7607522,11694.1842689,16812.7692812,484.3955805,10722.8526237,16892.8035735,3494.4609024,13345.1016839,5763.5046321,9442.4936108,10658.9894091,15927.7886069,3553.7109673,15627.6087661,15746.8050697,17037.390377,19273.6489999,13320.525312,7928.6008284,9963.8318441,4471.3514519,3154.487564,4598.0850038,13647.9241368,9460.4169666,10571.7561842,13310.764795,18996.9497093,5490.329042,3837.8762248,15462.1729858,10665.4251204,14643.0796349,17791.5998503,8738.7786103,3281.4222889,3052.8338602,5731.4824887,13406.2653648,9484.8605308,3910.734188,8568.7883709,14930.6973344,16350.9099766,12092.8131031,6753.5807813,17083.2024961,6614.512892,16153.4166134,18362.3307084,9504.1528205,5269.0494821,15489.23703,11812.0829397,1321.2952298,14675.7683562,15560.7609394,6687.5072557,8812.6122529,14684.7435721,10126.6026868,6227.9184369,7658.950551,10043.5116394,2699.7234897,15774.7144093,7691.9426681,4985.6516267,3201.8434957,987.0178847,18999.7569047,12157.3424265,10841.6809948,3955.1797455,16129.3539529,14099.2037229,3660.6938328,14361.2279861,7209.3030966,18302.6260284,7740.3826105,14950.6006095,6219.4444326,4720.6455361,5678.5129891,11375.524933,7032.9050031,14222.1022273,6198.4431881,6852.3939461,14634.0013222,6486.5461639,4347.0877272,11393.9904297,14355.4709469,13774.336623,16159.7061025,16442.7991758,6424.6687418,1644.9259728,3549.3075644,16787.1437541,9492.8675406,1722.9412396,14828.0422499,4253.7609562,7660.2067965,1363.5245197,3826.7785694,9662.305821,12885.8677681,6239.4993695,18899.2669397,17028.3371919,4105.9481432,9195.7168924,3949.576717,3489.3194289,741.8757502,11409.0903235,6294.4579174,7156.231943,3698.3165984,9235.1610791,10944.6770196,5763.9641655,7880.7196383,8164.9189994,16265.222447,10957.3764543,16286.6256381,3080.7379595,4337.651851,14261.3031093,5572.1027324,4101.0094363,16505.8798045,8765.297223,14474.9553011
6044.0654001,15692.7608798,14534.9407891,7431.4437969,12884.3311336,0.0,18307.5954461,16348.5597945,13547.1618576,2120.2518321,7365.0882258,16704.0568529,10339.3645123,9240.5119896,5988.7965141,4890.998188,10814.5431518,5270.077017,10143.3777631,3281.4534469,11816.8941995,5355.5138004,15241.7555729,7930.4579098,4928.2244552,6273.1707679,10078.6018468,8178.1603208,15831.6165954,13670.9638139,1917.6144719,9440.9584904,13037.3330888,13588.4472667,4192.0348794,11184.8678025,1151.7565524,13791.7244302,16224.6215124,14005.7224912,3853.4385916,15671.5818077,2830.9669552,10301.4673338,10133.0564971,7268.9127813,13854.6130493,7711.8799192,2972.7363406,9031.2124186,11009.017816,15309.6331853,1120.3284262,8140.5998512,4603.9448182,5703.6612817,7838.8940444,8570.5011016,13024.9169277,3396.6109965,9866.7491247,11638.7757607,9389.0576359,13309.2767653,14083.7555899,15533.3237862,16347.3238396,13695.8528508,4211.9675482,10281.0650481,8017.6039819,12218.3750547,3467.6703251,12844.2041661,9230.476953,7102.4444156,6767.3247913,4283.8557113,6256.0617614,7542.2818477,17831.5555731,9218.3619658,9071.7548561,14201.6863755,5410.9978919,3280.6380799,6349.5069356,13064.6032578,3562.8129606,4324.2546377,14829.5456751,14560.2321705,16646.7744982,14833.4365613,3307.3335002,17592.7199407,15667.3334192,14702.2125292,12141.4605629,7238.9452975,7092.5210178,4628.682127,8938.4671441,4748.1042216,7811.8602376,14301.9233345,12576.4999458,10644.2891314,8294.5786518,14575.6537296,7879.3146654,14177.5666055,16243.3955303,10008.1927482,10748.4555132,13733.9947591,10895.4808181,6774.6266631,19036.9035146,3671.9851453,14447.9914999,15403.5599107,14921.1917286,3516.1285046,13414.901147,4592.1800932,4938.8645102,6901.7104907,14031.8671008,14965.1631646,10242.7360188,8852.6059979,12317.066931,3334.5578698,16799.6454126,18940.5123145,11528.8378196,9651.1998537,6105.5085689,6082.0773289,9121.3708321,8274.1663431,4145.075573,12610.1253204,10834.2168676,12802.3951749,15087.166467,13115.6646424,11999.0461502,15104.1850836,19614.0223602,15146.3692413,4302.1105289,5371.524732,8775.7414497,15610.6235682,7092.3778232,10303.7548174,16106.1379517,4304.1108665,10225.3621527,14586.2423383,5690.5791701,15789.8925551,15422.4742016,4083.9845553,17578.468965,8996.2766582
15717.0065293,2856.2593712,3774.2955485,13937.8089194,5788.6964713,18307.5954461,9.5e-5,2144.1217026,4886.170081,16187.9742114,14370.1344643,3272.4346847,10307.0391088,9662.9023605,15751.5058137,15059.3619329,7580.57886,16309.434258,11623.106366,17963.6910549,9892.3125518,16366.9633092,3066.0893014,10675.9808813,16826.616043,15480.369376,10346.8553613,10158.8949309,3322.8597426,7935.7607363,17464.1767934,11526.7191146,5552.3190074,7997.0899915,16783.2314151,8143.1460711,17818.5582976,4709.7783564,5443.1547021,7613.318673,17902.0380862,2671.0174987,17971.2550229,10541.3073371,11255.2410736,13976.2885159,7698.0687972,10696.7725969,15431.6254701,9328.6388644,7333.853178,3034.1692043,19383.1699366,12441.9333361,15509.0100639,15636.840194,13706.6580694,10740.5574913,5286.3319025,16859.5738926,9324.8637657,10113.4039,12080.7600325,7823.3985471,4226.7525939,3679.5249294,4127.4320736,7928.90757,15121.5254937,8043.6789174,12253.6485325,9148.7279632,17804.0666464,8858.731608,10711.0508833,14654.2377832,12291.49592,17475.5303815,14782.6874662,11099.0726097,2084.0796271,11279.0831959,12248.6814283,4479.8009926,14394.5241849,18469.0641818,12474.1956152,8055.8424083,18085.1504141,14064.2680746,5749.8235732,6438.3336485,5119.5388944,3550.9927187,17229.1956711,2228.9034519,2717.5954196,3619.8323064,6407.0054343,14340.2932164,12119.3106233,13935.1963518,9636.832794,15618.1770959,13802.7313097,4005.9749896,9097.2618588,7897.2550275,13324.9272296,4480.7889839,13828.9273047,6339.7994205,2081.7281131,8328.6790316,8777.2887667,5025.42466,10861.9020233,11682.0140075,1074.925208,17957.171255,6180.5717024,4484.8726617,5822.3704042,18036.846556,8058.7171786,17173.4594417,16823.5339638,12121.3825069,4446.8606879,3346.0687621,11348.6641846,9933.5023176,6100.9555134,18364.2623435,2685.9089678,1879.2559845,7148.0508777,8725.749277,12405.2909619,15182.5214463,9216.5261089,13180.2429594,17130.0652042,7104.6809287,10094.6960667,5510.6958242,3228.9938004,5713.3218684,9537.8833645,5521.142052,1521.3249066,3162.9528378,14005.5121479,15134.9473195,10706.1839287,3679.5786169,12795.5066714,10737.9108269,5173.5967072,17445.8581652,8197.1949733,3746.1452812,13994.6334813,4606.1896842,2886.7530758,17597.9964129,4141.5085936,12710.4420799
17382.1913796,720.3481503,2239.5164218,16057.2355579,3661.0622698,16348.5597945,2144.1217026,0.0,4156.4020251,14301.7708196,15615.9042862,5039.8303097,9756.2619706,9473.1124819,16874.633571,13384.2297074,6451.1125932,16608.6071276,13314.5791687,19137.9893951,11263.7829892,18243.4943181,1731.3333502,8532.9980499,18431.6309312,16756.498882,11917.8382488,8671.7798132,1953.6503957,9120.1082785,15355.0823844,13471.9880507,3408.73584,9130.9859331,18213.2957525,6379.2594286,16412.7094028,4229.273006,6913.7922458,8844.4753959,19067.6512785,993.239731,18355.109138,12432.987051,13393.6383427,16033.5714938,9821.8756842,9440.0501613,13378.7644301,7339.0172258,5398.7938339,2275.5573079,17264.6114674,11612.5108097,13907.0523348,15502.0026574,15844.2133245,8861.0536423,3820.9176948,17225.2511997,9599.2142,11998.1603753,14224.8790973,8189.6687406,2611.0452382,2283.523744,4229.1374537,10020.0674756,13106.7722954,6167.6982543,11096.4655282,11289.0442513,19200.0302709,10252.2013757,9344.4143955,16425.7042503,10238.862834,18828.1677264,16637.0282807,10335.401797,2514.1516648,12859.6963958,12526.3173967,2374.3415289,14873.7488213,19094.6763618,10346.8534189,8380.8353918,17884.4860643,12584.6306312,5637.6763627,6769.2164342,6968.2573046,1569.1274561,17783.2934504,4089.958154,2325.264882,1926.4522668,4265.6537098,16468.0067272,12147.2159005,12808.8962933,7495.8878304,16545.2050071,14609.3920051,2574.0960047,11148.8498371,7163.364024,15427.0956222,5144.9451509,14977.0287949,6059.1725472,1631.2766637,6911.8853679,9537.0730669,5098.5535505,12439.2585963,9585.6783985,3218.1579067,17770.9980996,6063.3648037,3770.9017984,7805.1363406,17573.7159313,10199.774701,18487.21843,18320.7926639,10057.3031984,2323.815507,1832.8077546,13464.4072713,9523.7998303,4032.5232707,18164.0041868,2130.9840919,4023.3679698,5013.4002125,6707.9966239,11294.5581009,14985.9543052,7768.5527967,15323.1114985,18930.7444341,5785.9269481,9944.1171307,4057.1333644,1658.8091777,3665.3457131,10468.0677638,5505.0417701,3597.7918064,1735.7525401,12185.491423,13922.4159031,8947.8491455,4797.8963896,11242.5517596,12748.1072587,7315.4392365,18936.0017214,6123.2517156,2707.6542358,14390.6338077,4491.4866841,1761.3217533,19477.4951855,5811.6961642,13931.2233856
17787.4541811,4225.9162601,2201.7460146,14399.4751555,5358.3326021,13547.1618576,4886.170081,4156.4020251,0.0,11558.1215158,18740.5482627,5049.1111606,13533.132403,5331.0872161,18903.7843225,14350.3788949,2740.9678382,18783.3330271,15854.0917768,14988.3605008,14687.0178698,17073.8756363,2442.0494354,8134.0607747,17352.009038,18748.605341,9345.1253304,5453.5696491,5943.5644901,12820.9163613,14010.9392325,11612.1811805,4874.0385979,12883.157375,14232.9800909,8848.9059521,12943.9594396,504.9888985,10298.3737204,12495.8132444,16764.1847273,3196.3783665,14251.8601826,10616.9111133,12915.75579,13934.2436268,10951.2927252,5835.6282946,11250.9619669,5792.3836926,4088.5766937,1961.3400336,14648.3388959,14817.9632145,14846.0116289,18341.5271839,15130.9573641,10439.2910482,1675.5953674,13069.4811683,5656.6123562,14115.33389,13807.2997166,12335.1376264,2160.281154,6192.6809636,8368.387781,11425.7354393,13037.8103643,4375.1183304,13884.6473911,11371.9462293,15045.4207796,13672.1377378,12096.7439673,17488.6612961,10719.081422,17088.1181732,13637.4605397,6299.7698465,6468.381144,10130.9675236,16655.6237527,4917.8475029,10787.9700772,16324.4604723,10169.3822581,12532.3667792,17094.7306803,9222.9525186,9787.829974,10907.8286687,9697.381502,3274.4667921,13627.1096117,4885.6978484,2176.4629826,2587.0129975,5053.3147944,15618.5559318,8011.8446301,9056.3472551,7243.0141615,12531.8193158,18683.647602,1875.5163882,12636.6169372,3070.7478951,15379.4289008,2820.0040233,18530.3892498,10173.183309,2898.2389357,3675.1960638,6060.2559004,1750.3375198,15390.0292841,8293.2779686,5529.4181651,17212.9411273,10208.3807373,7847.8705063,7471.1915619,17060.5189536,10945.1260461,17428.1605724,17511.4713827,10507.6242792,3941.0265306,2448.4795104,13929.5290321,5370.1628069,4072.817657,16822.3161271,6285.9544655,5999.3736981,6069.7521966,5451.2642353,7520.9854993,18093.702703,4528.7727079,14388.325632,15020.0488463,9181.9568813,13985.2048859,1700.2729278,2619.4323508,5938.6199294,14405.2824661,9661.2223313,6144.2971567,2471.6569628,9454.8440195,15721.9887185,10889.1649144,3571.9893888,13189.110535,11347.1834267,8294.7611438,16979.7891801,5391.5744317,1459.7822173,10296.577274,8647.8561085,2398.7544137,16411.6728034,8946.1086395,17472.9281982
8163.2623529,13694.9308131,12414.6914849,9203.6550011,11072.2486665,2120.2518321,16187.9742114,14301.7708196,11558.1215158,0.0,9442.4246337,15729.101685,10982.9344889,7962.4834517,8077.464383,5350.5021418,8819.2566212,7230.7886777,12261.3717725,5187.6849039,13827.8086333,7454.7589025,13121.8849359,6209.7175569,7045.4022283,8374.5333498,10618.8706065,6119.9584553,14225.262568,15455.3684337,2773.5073887,10679.0916349,11145.0076869,15337.2617618,5840.7008818,10158.7844704,2273.076962,11861.6651866,17971.9848201,15798.7195619,5971.8032432,13563.6408774,4560.1183515,11328.6045218,11827.9315116,8928.8147033,15627.1324843,5781.9099318,1252.4805824,6963.3701567,8915.3328065,13222.9516582,3224.396844,8905.5244784,5299.8991966,7445.623639,9767.602126,7739.8005649,10913.1663895,4610.9819988,8913.5062758,13747.8644769,11202.1686253,14333.3532515,11963.7078801,14005.8079442,15888.9608744,15595.2376848,4036.0900503,8172.224072,8428.9603133,13793.7072764,5371.8887768,14830.7349192,9117.9983527,9219.0432317,5772.703258,6403.0696961,7780.5176048,5993.4246824,16335.3174148,9923.6841197,10633.2904634,12348.8194178,5749.2681717,5398.1988458,5050.1441646,14094.7575094,5613.6270265,2473.6576652,14847.6102425,15221.4866015,18766.3795865,12752.9684966,4767.5044909,16201.5880022,13606.674401,12586.6565859,10232.9500334,9209.9117094,6419.645236,3177.4549789,7140.6394509,5804.8381054,9751.4945994,12184.0204687,14576.5663734,8836.2081413,10286.5417502,13106.5041671,9922.7158375,14222.1827179,14138.2524627,7939.9668572,10129.9342231,12046.9099626,12993.2672282,4873.8114839,17060.6496992,5709.6734779,14596.9213575,14507.971371,15295.4292629,5517.6176337,15082.3333708,6712.3651276,7058.7167988,5842.6647992,12026.2658773,12845.2023007,12174.5126741,7440.4756705,10284.2769984,5416.1882809,15287.2554265,17534.0032181,9766.4987512,7599.093571,4415.9037172,7734.0494317,7059.1440179,10102.622259,6001.1887487,11893.3326388,11793.5406069,10693.4642172,12968.7485171,11438.9725076,13732.1049822,15132.2550259,17657.5096968,13026.1189892,2183.5326797,6356.0915745,8141.3753295,14234.8629155,7147.6578514,11572.4927685,17092.9171291,6420.0491986,8218.8572879,12493.9112072,5836.0635655,15378.8415934,13306.2518101,6170.671339,19220.7766816,11029.1313912
