,fats,proteins,carbs,fruits_and_veggies,population,Area Abbreviation,Area Code,Area,Item Code,Item,Unit,latitude,longitude,Y2013
0,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2511,Wheat and products,1000 tonnes,33.94,67.71,4895
1,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2805,Rice (Milled Equivalent),1000 tonnes,33.94,67.71,422
3,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2513,Barley and products,1000 tonnes,33.94,67.71,89
5,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2514,Maize and products,1000 tonnes,33.94,67.71,76
6,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2517,Millet and products,1000 tonnes,33.94,67.71,12
7,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2520,"Cereals, Other",1000 tonnes,33.94,67.71,0
8,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2531,Potatoes and products,1000 tonnes,33.94,67.71,230
11,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2542,Sugar (Raw Equivalent),1000 tonnes,33.94,67.71,255
13,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2745,Honey,1000 tonnes,33.94,67.71,2
15,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2549,"Pulses, Other and products",1000 tonnes,33.94,67.71,74
16,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2551,Nuts and products,1000 tonnes,33.94,67.71,44
17,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2560,Coconuts - Incl Copra,1000 tonnes,33.94,67.71,0
19,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2563,Olives (including preserved),1000 tonnes,33.94,67.71,2
20,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2571,Oil,1000 tonnes,33.94,67.71,16
21,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2572,Oil,1000 tonnes,33.94,67.71,0
22,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2573,Oil,1000 tonnes,33.94,67.71,23
23,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2574,Oil,1000 tonnes,33.94,67.71,2
24,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2575,Oil,1000 tonnes,33.94,67.71,4
25,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2577,Oil,1000 tonnes,33.94,67.71,64
26,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2579,Oil,1000 tonnes,33.94,67.71,1
27,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2580,Oil,1000 tonnes,33.94,67.71,1
28,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2586,Oil,1000 tonnes,33.94,67.71,2
29,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2601,Tomatoes and products,1000 tonnes,33.94,67.71,0
30,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2605,"Vegetables, Other",1000 tonnes,33.94,67.71,885
31,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2611,"Oranges, Mandarines",1000 tonnes,33.94,67.71,145
32,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2614,"Citrus, Other",1000 tonnes,33.94,67.71,39
33,1284354049.3,3339320528.18,1181605725.3560002,10274832394.4,31098161,AFG,2,afghanistan,2615,Bananas,1000 tonnes,33.94,67.71,82
