Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74
4895.0,422.0,89.0,76.0,12.0,0.0,230.0,255.0,2.0,74.0,44.0,0.0,2.0,114.0,0.0,885.0,145.0,39.0,82.0,68.0,0.0,1.0,483.0,223.0,140.0,150.0,75.0,12.0,53.0,36.0,18.0,15.0,40.0,1901.0,2.0,5495.0,230.0,74.0,44.0,885.0,1040.0,377.0,53.0,69.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440.0,25.0,1.0,6.0,0.0,0.0,131.0,56.0,3.0,1.0,13.0,0.0,73.0,22.0,185.0,498.0,40.0,1.0,20.0,78.0,0.0,12.0,153.0,141.0,71.0,49.0,42.0,0.0,11.0,4.0,0.0,4.0,40.0,964.0,2.0,474.0,132.0,17.0,13.0,778.0,451.0,197.0,11.0,8.0,15.0,2.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,94.0,5.0,0.0,1.0,0.0,35.0,3.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7270.0,117.0,517.0,627.0,0.0,1.0,2540.0,1089.0,7.0,247.0,71.0,3.0,191.0,586.0,1073.0,4147.0,1116.0,9.0,247.0,544.0,10.0,821.0,512.0,1141.0,220.0,301.0,291.0,14.0,57.0,20.0,0.0,10.0,316.0,5549.0,13.0,8534.0,2540.0,326.0,71.0,6497.0,4477.0,826.0,57.0,29.0,154.0,0.0,0.0,0.0,0.0,0.0,61.0,18.0,0.0,11.0,1277.0,75.0,3.0,0.0,19.0,0.0,17.0,100.0,17.0,5.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
874.0,174.0,0.0,833.0,30.0,0.0,438.0,327.0,23.0,0.0,2.0,3.0,0.0,192.0,102.0,1344.0,6.0,274.0,1154.0,22.0,431.0,0.0,2.0,50.0,181.0,23.0,372.0,9.0,25.0,2.0,0.0,11.0,24.0,264.0,20.0,1912.0,5743.0,192.0,2.0,1453.0,1940.0,776.0,25.0,12.0,329.0,0.0,0.0,4249.0,1056.0,0.0,192.0,0.0,11.0,47.0,7.0,0.0,0.0,0.0,0.0,191.0,131.0,152.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,7.0,2.0,0.0,0.0,7.0,14.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4273.0,364.0,0.0,433.0,0.0,19.0,1361.0,1717.0,2.0,19.0,18.0,10.0,4.0,605.0,696.0,1670.0,888.0,0.0,532.0,817.0,40.0,0.0,44.0,508.0,2300.0,65.0,1602.0,43.0,230.0,38.0,4.0,81.0,472.0,8085.0,9.0,5116.0,1812.0,35.0,18.0,2858.0,3167.0,4445.0,230.0,123.0,292.0,0.0,27.0,78.0,372.0,0.0,9.0,7.0,0.0,2.0,493.0,176.0,158.0,4.0,4.0,435.0,109.0,63.0,0.0,13.0,63.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389.0,9.0,0.0,0.0,0.0,6.0,134.0,98.0,2.0,0.0,6.0,0.0,3.0,28.0,262.0,724.0,14.0,1.0,2.0,74.0,0.0,0.0,40.0,187.0,59.0,9.0,40.0,0.0,14.0,5.0,0.0,11.0,35.0,622.0,10.0,406.0,134.0,0.0,6.0,1039.0,330.0,136.0,14.0,17.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,1.0,2.0,8.0,0.0,29.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1645.0,258.0,0.0,115.0,0.0,2.0,1274.0,851.0,10.0,17.0,174.0,55.0,66.0,543.0,687.0,1473.0,364.0,2.0,347.0,534.0,122.0,5.0,154.0,480.0,790.0,231.0,1077.0,52.0,186.0,86.0,7.0,76.0,199.0,5474.0,96.0,2048.0,1318.0,30.0,174.0,2400.0,2058.0,2713.0,186.0,169.0,609.0,24.0,4.0,5.0,38.0,0.0,0.0,13.0,4.0,30.0,241.0,39.0,10.0,0.0,3.0,564.0,161.0,105.0,51.0,100.0,28.0,68.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
689.0,31.0,3.0,105.0,0.0,0.0,496.0,336.0,11.0,2.0,58.0,6.0,6.0,190.0,162.0,634.0,219.0,7.0,93.0,411.0,22.0,1.0,74.0,443.0,146.0,10.0,158.0,12.0,11.0,47.0,67.0,99.0,125.0,2192.0,35.0,951.0,496.0,7.0,58.0,881.0,1309.0,772.0,11.0,213.0,118.0,103.0,19.0,0.0,0.0,0.0,2.0,4.0,17.0,9.0,85.0,31.0,7.0,1.0,2.0,447.0,25.0,37.0,7.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2093.0,19.0,0.0,125.0,0.0,7.0,695.0,162.0,3.0,0.0,29.0,0.0,1.0,28.0,453.0,961.0,36.0,4.0,9.0,132.0,1.0,1.0,135.0,382.0,119.0,71.0,99.0,1.0,19.0,30.0,0.0,0.0,77.0,1431.0,2.0,2249.0,695.0,9.0,29.0,1567.0,705.0,293.0,19.0,31.0,20.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,152.0,5.0,1.0,0.0,0.0,2.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,9.0,1.0,1.0,0.0,0.0,3.0,11.0,0.0,0.0,1.0,3.0,0.0,2.0,9.0,37.0,23.0,0.0,10.0,15.0,1.0,0.0,2.0,19.0,8.0,2.0,17.0,0.0,1.0,1.0,0.0,1.0,2.0,39.0,0.0,28.0,6.0,0.0,1.0,48.0,105.0,39.0,1.0,2.0,10.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,20.0,1.0,0.0,12.0,1.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2736.0,26892.0,0.0,125.0,12.0,0.0,7266.0,853.0,0.0,578.0,109.0,6.0,0.0,993.0,246.0,2583.0,121.0,7.0,697.0,148.0,168.0,1.0,41.0,2356.0,201.0,208.0,220.0,16.0,93.0,31.0,0.0,21.0,326.0,3431.0,2546.0,29765.0,7524.0,1029.0,109.0,4281.0,3654.0,644.0,93.0,52.0,3008.0,0.0,0.0,23.0,234.0,0.0,47.0,403.0,95.0,5.0,1452.0,57.0,58.0,0.0,121.0,0.0,94.0,74.0,115.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0
