Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159,Column160,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168,Column169,Column170,Column171,Column172,Column173,Column174,Column175,Column176
0.0,17654.2563332,19470.9848291,3467.8923001,16872.1794139,6044.1601644,15717.2529546,17382.4639131,17787.7330687,8163.3903438,1896.8589654,14029.7735,8731.4590653,12706.1797971,1158.8731701,7172.3066514,16158.0852801,2455.1173328,4126.7363323,3499.7368813,6118.5441578,922.1546635,18760.084086,13134.9901473,1123.3551516,970.7113253,8517.5027687,14013.3949631,16019.5423488,8268.4572364,6388.2762325,6340.8421252,17350.2171292,8263.7409837,3883.3485103,13382.8129384,6219.8822509,17424.7778362,10494.3669521,8539.5449671,2191.7973172,18306.8036167,4305.408228,7384.0058224,5421.1650027,3887.1475498,8297.7880747,13246.8310784,8879.8732377,14960.9953659,16965.8679197,18299.1221398,4961.7526545,7433.3928252,6623.0274625,3571.3660973,2921.0151891,11524.6301518,18839.217403,5281.5987183,12190.381354,5607.1361705,4487.9900996,9449.6516545,19902.6742344,15842.1037965,13306.7968481,7959.1629843,8104.5666731,16303.6836862,8303.3516176,7309.8547393,3375.7712034,7131.3298634,10121.454864,1069.1565235,10815.1905951,1760.2656195,4159.5418138,12230.3373294,14869.6463898,7693.2142425,5468.911297,17353.5666022,7267.306145,2765.8778859,11094.2814577,9290.3161751,2884.4882389,10083.5313589,12106.0455912,10819.8145775,10606.1909682,18801.781939,4739.3647991,14627.7286672,17832.6209646,19300.6855993,16977.768368,2327.8582881,10066.0091173,9880.0649847,14154.9357883,5508.080172,3158.0239027,19498.8893187,6737.5266524,15249.0890589,2913.2825165,15413.9275354,2550.2233206,11827.4967422,17656.9587301,15779.7693538,11728.383722,16166.9690338,4963.0372891,12478.9421712,14742.0911715,2861.6666396,11717.9086381,14138.1499024,11239.2743519,3145.8260042,8094.0538295,1466.3362405,1106.838165,11024.9672176,18345.1617821,19062.2007726,4772.1526208,12815.9992033,17796.6751178,2931.2022138,15398.8086263,14031.7417468,15955.27748,15513.6942784,11384.6397371,3986.4476665,14922.7782193,3665.2466822,3146.3016613,13096.1477327,8178.9828882,18608.8192915,18941.4621237,16336.1810199,6995.6377671,12175.8819998,14207.3497,18873.0668693,10339.7109794,6046.4574261,11167.8886979,15086.7013515,8783.9046502,6745.4757841,11015.2648358,1749.7140575,15896.3282989,18805.210531,7756.9270841,13155.3560944,18523.8462956,2113.820817,11669.3594016,3505.3549141,4512.4531749,5851.4421664,9690.6525653,2665.8540793,5362.3529519,1579.685646,19045.3706336,3429.7170859
17654.2563332,9.5e-5,2101.6772177,16777.8188947,2940.9816051,15693.006925,2856.3041542,720.3594446,4225.9825178,13695.1455345,15780.2652022,5728.1223866,9457.1913735,9546.8033159,16896.8805993,12724.9803335,6261.2892567,16330.8958767,13756.8000782,18826.5637803,11605.2318374,18575.8669189,1812.9047819,7828.6010335,18495.4997535,16862.9481679,12507.8477103,8286.0606741,1718.0461772,9431.7325774,14635.3385228,14159.1603237,2697.9062077,9424.2715243,18458.7888905,5747.3986158,15879.626632,4387.4091659,7367.8581955,9178.3751915,18622.1789462,1098.5944075,18043.753047,13110.3012705,14110.7274092,16742.255215,10508.4865289,9130.8422543,12720.7303268,6741.1920817,4851.0599179,2522.7900423,16562.5836313,11189.1797372,13257.0316622,15161.3647826,16535.10146,8181.9598722,3581.3074868,17138.6491917,9824.7478433,12548.9344386,14933.325722,8238.3221762,2375.8231883,1976.6815508,4347.8734719,10685.7042268,12393.0381365,5642.3971097,10588.6629586,12004.8571045,18986.9341923,10620.2166627,8800.9304805,16828.7014208,9523.2323175,18592.2169268,17260.1863517,10187.336723,2905.3555216,13442.2045128,12430.516965,1657.5386698,15012.8782659,18437.7042793,9627.6206295,8410.1187371,17328.8463501,12137.88406,5607.915016,6848.3981496,7549.0137971,1160.8754355,17680.4751498,4796.6899231,2696.3203616,1728.0321543,3568.193449,17142.7173323,12225.1864143,12476.553739,6795.7407523,16756.7492945,14634.4791899,2454.5163011,11788.8556206,7106.5780737,16081.6581275,5605.5948908,15126.7867751,5953.6394083,2117.3255984,6589.5016009,9917.8937048,5394.4787556,12844.9730416,8918.3926167,3927.6838265,17233.8626386,6014.612606,3624.88946,8513.6416035,17001.5602876,10901.8083321,18345.5788452,18336.6704161,9340.3836924,1669.6148405,1780.4724259,14138.2605662,9520.3429974,3411.9552067,17566.3365763,2258.8401873,4734.6112461,4294.9164958,6098.7494055,11001.6807035,14651.0619787,7415.1639809,16036.3039184,19242.6353158,5317.0200279,9771.6342501,3811.027614,1607.1159762,2961.1059277,10658.6567252,5514.3313072,4282.8808852,1760.5957867,11624.5077963,13354.406484,8298.7664562,5375.1089807,10628.5437648,13453.1985941,8029.9266889,18741.1235542,5482.2177644,2773.3711234,14520.9373437,4518.9567374,1948.1613677,19256.9575636,6350.3510598,14149.0734121,15710.9538434,16113.9843918,11599.5884948,16390.5555192,13213.9601196,18958.657552,1606.7999089,17106.7946393
19470.9848291,2101.6772177,0.0,16251.324317,3465.2107276,14535.1686809,3774.3547253,2239.5515349,2201.7805355,12414.8861336,17850.4320462,5480.8095605,11342.2862084,7466.7592599,18964.4949296,13330.9685007,4214.8326752,17929.3549524,15388.0898254,16917.0842688,13472.6131031,19273.0832191,715.0381209,7443.6727622,19399.788786,18964.0973477,11258.6149986,6498.397863,3804.3094606,11350.1320638,14213.9220136,13354.4167977,3005.8877318,11365.949228,16371.5042136,6909.9882436,14309.4085734,2470.5283808,9058.6333782,11066.855359,18375.8012899,1263.3496437,16119.1006265,12295.6614881,14131.6877756,15892.9838288,11176.7360588,7213.1910373,11718.9610572,5642.4372984,3637.8706955,1222.1066055,15626.2895478,12796.8314482,13883.6803814,16753.571891,16675.6809783,8906.2363009,1594.3337863,15063.7726469,7858.4756822,13875.236663,15063.5297105,10337.3982273,456.2085271,4024.9336491,6418.1606438,11512.2082887,12460.7058574,4293.5539863,11991.1338762,12201.7016302,17020.6294017,12448.7899751,10162.025327,18405.2452558,9715.4716151,18809.3787159,15791.2109811,8119.2486432,4745.2205909,12118.4962522,14487.4814228,2767.2928399,12935.2477432,17802.8932143,9474.6338238,10511.2852084,17712.3921199,10438.1231341,7708.95637,8939.3117086,8892.206741,1072.7728247,15617.2449452,4854.3828508,1677.7452143,387.9136962,3493.4792659,17302.9022992,10137.6437936,10581.5990335,6416.5954003,14692.9696742,16732.5783931,352.8635241,12733.4627426,5005.3754922,16613.8374654,4275.3057823,17204.2315126,8038.5871284,1814.0537387,4702.6106209,8184.6151427,3661.4435218,14580.3427255,8123.6762596,4735.9292373,17729.4243416,8113.179465,5710.3561753,8292.5152946,17442.6903235,11389.4063816,19126.0821969,19466.1484754,9507.3922547,1869.1073854,437.6539676,14720.8412429,7419.8103388,2748.0276951,17672.4349299,4309.8627615,5440.8611846,4498.7480456,5089.6030681,9059.3495626,16298.519115,5574.909219,15946.6438037,17143.8279643,7017.0189537,11793.7758604,1830.6399688,591.8428666,3918.9011394,12700.9560123,7615.3226792,5277.5146978,611.4399346,10234.456984,14388.2654787,9222.7527199,4498.5266229,11620.8379428,12889.8407412,8462.7499813,18796.7206238,4696.499202,886.8668166,12442.8546407,6616.635708,947.2706807,18355.6883844,7853.4677342,16170.98885,15167.2544783,14698.7243951,10137.7541129,16876.8961691,14110.2627419,18893.8879849,1097.066915,16351.0979692
3467.8923001,16777.8188947,16251.324317,0.0,19700.2690073,7431.5603137,13938.0274489,16057.4873176,14399.7009234,9203.7993043,4792.894576,11143.3935825,11839.8808974,10068.9907633,4618.1261554,10354.3547906,13917.7575064,5888.0731489,4891.1882901,4155.640446,7181.1742309,3176.8197205,15871.9860839,15358.2983764,3779.9109917,4364.2725185,5059.6918054,13194.7754811,16632.6753497,9195.9425051,8659.6985467,2897.9386123,19254.663141,9282.1947903,3365.8843663,16825.5785891,6931.4295885,13983.8452143,10442.4752507,9321.0605876,4444.6400492,16146.9663149,4661.6008621,3961.3458106,2705.272715,594.3618718,6455.3544806,12109.9476115,10332.3480487,15683.7863791,16851.9754504,15108.6007383,6692.8213413,10856.3155073,9802.2046944,7035.9740543,1064.1124281,14881.2397789,15953.0469089,4749.9880314,9174.6570516,5294.3474242,1999.1283639,11338.8759777,16450.282574,16803.0535348,14190.412594,6393.1363411,10882.5773254,16129.5891222,11766.2762846,4807.4738104,3971.0629836,7906.0758394,13574.2470998,3189.3750575,13753.8131833,4220.8328569,1714.4017989,10490.109226,14535.03862,4275.9772214,8426.9900489,18416.5988552,5363.3413718,4805.907066,13662.3570727,11277.6683037,5689.4956116,10049.4512465,13793.7122067,12365.482346,9782.1842996,17001.2210193,4469.1347617,12014.5900487,14717.7379116,16506.8711716,19068.6905133,1249.218374,7801.3362012,9290.3642861,16339.3020958,3993.001992,6162.6553008,16065.6766128,5478.3743838,12664.0264333,1742.3316058,11977.3265225,5294.4202511,13844.0752676,14979.6321275,14284.6574276,8411.4448902,12709.144655,5822.9142825,14074.1218984,12878.5476163,5740.2654695,13557.8286436,15611.776097,8309.6220571,6018.8129919,5984.6386954,4213.2826427,3927.5397367,13942.4530888,18058.1745381,16156.8648119,3063.3028293,10425.1124735,18179.3456261,5545.152982,15568.0208989,12071.2143151,18959.4899566,16315.4573153,10416.7546887,7453.4952559,13769.393665,928.8143418,3287.3365643,16088.3332798,11009.333757,15854.7254336,16214.1980678,19305.9423961,8674.7165205,13709.552956,12589.2795144,16005.7997821,10991.2562344,9421.3561652,14599.146792,11822.6492316,12198.9038991,3434.9262122,8775.8481536,4087.4949893,17071.7173558,15383.8590688,5758.4844489,14384.3112788,15601.7401019,3863.1021099,11064.6892369,5708.7319208,1117.2841473,6872.6728248,6274.2314976,1603.9191269,4172.6894286,3730.3450545,17317.2460599,435.4683012
16872.1794139,2940.9816051,3465.2107276,19700.2690073,0.0,12884.5331457,5788.7872317,3661.1196712,5358.4166148,11072.4222671,15475.6651269,8558.5412989,8405.7718549,9820.4535154,15716.9939071,10019.8894393,5976.6703426,14466.7442568,15168.7745106,16165.42171,12858.7943201,17192.9507275,3831.6503248,4953.9701986,16591.9492705,15959.5177284,14684.3069906,6859.2890462,3194.0736198,10800.9300962,11694.3676208,16813.0328868,484.4031753,10723.0207462,16893.068434,3494.5156917,13345.3109204,5763.5949975,9442.6416586,10659.1565303,15928.038337,3553.7666855,15627.8537898,15747.0519622,17037.6575045,19273.9511894,13320.7341631,7928.7251401,9963.988066,4471.4215578,3154.5370229,4598.1570967,13648.1381212,9460.5652955,10571.9219376,13310.9734931,18997.2475606,5490.4151243,3837.9363985,15462.4154156,10665.5923425,14643.3092223,17791.878803,8738.9156247,3281.473738,3052.8817252,5731.5723521,13406.4755602,9485.009243,3910.795504,8568.92272,14930.9314313,16351.1663409,12093.0027051,6753.68667,17083.4703419,6614.6166002,16153.6698811,18362.6186095,9504.3018352,5269.132095,15489.4798841,11812.2681401,1321.3159462,14675.9984561,15561.004915,6687.6121084,8812.7504249,14684.9738127,10126.7614607,6228.0160838,7659.0706348,10043.6691106,2699.7658184,15774.9617394,7692.0632692,4985.7297962,3201.8936971,987.0333601,19000.0547999,12157.5330402,10841.8509803,3955.2417584,16129.6068434,14099.4247829,3660.7512284,14361.4531543,7209.4161305,18302.9129933,7740.5039711,14950.8350185,6219.5419466,4720.7195506,5678.6020219,11375.7032887,7033.0152712,14222.3252141,6198.5403728,6852.5013841,14634.2307672,6486.6478658,4347.1558848,11394.1690749,14355.6960249,13774.5525894,16159.9594689,16443.0569807,6424.7694735,1644.9517634,3549.3632137,16787.406958,9493.0163783,1722.9682534,14828.2747373,4253.8276505,7660.3269001,1363.5458982,3826.838569,9662.4573153,12886.0698042,6239.597198,18899.5632594,17028.6041775,4106.0125199,9195.8610711,3949.638642,3489.3741376,741.887382,11409.2692055,6294.5566076,7156.3441449,3698.3745839,9235.3058762,10944.84862,5764.0545381,7880.8431993,8165.0470164,16265.4774677,10957.5482539,16286.8809944,3080.7862621,4337.7198606,14261.5267108,5572.1900968,4101.0737356,16506.1385985,8765.4346532,14475.1822524,18583.0759913,13426.21758,13488.7805156,18494.8650547,15701.7253162,16644.0671306,2391.8078358,19660.3665413
6044.1601644,15693.006925,14535.1686809,7431.5603137,12884.5331457,0.0,18307.882489,16348.8161219,13547.3742622,2120.2850753,7365.2037023,16704.3187541,10339.5266221,9240.6568706,5988.8904118,4891.0748734,10814.7127119,5270.159646,10143.5368001,3281.5048964,11817.0794753,5355.5977689,15241.9945468,7930.5822506,4928.3017243,6273.2691243,10078.7598682,8178.2885453,15831.8648177,13671.1781595,1917.6445379,9441.1065142,13037.5374998,13588.6603186,4192.1006059,11185.0431688,1151.7746107,13791.9406692,16224.8758966,14005.9420854,3853.4990093,15671.8275208,2831.0113417,10301.6288494,10133.2153723,7269.0267499,13854.8302743,7712.0008329,2972.7829498,9031.354018,11009.1904252,15309.8732234,1120.3459917,8140.7274868,4604.017003,5703.7507088,7839.0169496,8570.6354776,13025.121144,3396.6642516,9866.9038244,11638.9582438,9389.2048459,13309.4854401,14083.9764076,15533.5673315,16347.5801476,13696.0675866,4212.0335872,10281.2262438,8017.7296891,12218.5666253,3467.7246944,12844.405549,9230.6216767,7102.5557741,6767.4308955,4283.9228774,6256.1598495,7542.4001024,17831.8351522,9218.5064996,9071.8970912,14201.9090422,5411.0827304,3280.6895167,6349.6064889,13064.8080963,3562.8688216,4324.3224372,14829.778186,14560.4604589,16647.0355012,14833.6691332,3307.3853555,17592.9957752,15667.5790657,14702.4430436,12141.6509276,7239.0587962,7092.6322207,4628.7546997,8938.6072894,4748.1786667,7811.982719,14302.1475728,12576.6971314,10644.4560221,8294.7087017,14575.8822598,7879.4382044,14177.7888941,16243.6502088,10008.3496657,10748.6240371,13734.210093,10895.6516472,6774.7328818,19037.2019922,3672.042718,14448.2180285,15403.8014215,14921.4256764,3516.1836336,13415.1114778,4592.2520935,4938.9419461,6901.8187019,14032.0871049,14965.3978019,10242.8966136,8852.744797,12317.260049,3334.610152,16799.9088125,18940.8092808,11529.018579,9651.3511738,6105.6042965,6082.1726892,9121.5138451,8274.2960729,4145.1405632,12610.3230333,10834.3867362,12802.5959023,15087.4030171,13115.8702815,11999.234282,15104.4219005,19614.3298865,15146.6067197,4302.1779813,5371.6089516,8775.8790437,15610.8683256,7092.4890239,10303.9163689,16106.3904781,4304.1783502,10225.5224751,14586.4710345,5690.6683921,15790.1401232,15422.7160089,4084.0485877,17578.744576,8996.4177099,8354.424126,733.8168258,10297.5078983,7985.2872448,11148.6583258,4543.206865,14303.72351,7031.4128243
15717.2529546,2856.3041542,3774.3547253,13938.0274489,5788.7872317,18307.882489,9.5e-5,2144.1553201,4886.2466908,16188.2280209,14370.3597722,3272.4859929,10307.2007118,9663.0538641,15751.7527799,15059.5980471,7580.6977151,16309.689972,11623.2886035,17963.9727057,9892.4676523,16367.2199251,3066.1373743,10676.1482689,16826.8798657,15480.6120911,10347.0175886,10159.0542111,3322.9118414,7935.8851603,17464.4506124,11526.8998409,5552.4060616,7997.215377,16783.4945576,8143.2737466,17818.837673,4709.8522005,5443.2400448,7613.4380415,17902.3187704,2671.0593774,17971.5367923,10541.4726132,11255.4175433,13976.5076487,7698.1894944,10696.9403105,15431.867421,9328.7851272,7333.9681648,3034.2167767,19383.4738433,12442.1284119,15509.253228,15637.0853624,13706.8729747,10740.7258914,5286.4147864,16859.8382321,9325.0099693,10113.562467,12080.9494454,7823.5212093,4226.8188647,3679.5826203,4127.4967872,7929.0318865,15121.7625825,8043.8050334,12253.8406561,9148.8714052,17804.3457945,8858.8705031,10711.2188207,14654.4675455,12291.6886371,17475.8043786,14782.9192424,11099.2466309,2084.1123032,11279.2600395,12248.8734741,4479.871231,14394.7498751,18469.3537563,12474.3911968,8055.9687151,18085.4339693,14064.4885868,5749.9137241,6438.4345944,5119.6191631,3551.0483944,17229.4658059,2228.9383987,2717.6380285,3619.8890613,6407.1058891,14340.5180564,12119.5006407,13935.4148402,9636.9838889,15618.4219717,13802.9477213,4006.0377988,9097.4044938,7897.3788478,13325.1361498,4480.8592377,13829.144127,6339.8988215,2081.7607523,8328.8096161,8777.4263849,5025.5034531,10862.0723259,11682.1971686,1074.9420617,17957.4528036,6180.668607,4484.9429796,5822.4616925,18037.1293539,8058.8435304,17173.7287026,16823.7977382,12121.5725568,4446.9304097,3346.1212248,11348.8421192,9933.6580639,6101.0511697,18364.5502749,2685.9510799,1879.2854492,7148.1629512,8725.8860871,12405.4854631,15182.7594914,9216.6706138,13180.449611,17130.3337847,7104.7923222,10094.8543404,5510.7822258,3229.0444275,5713.411447,9538.032908,5521.2286174,1521.3487593,3163.0024294,14005.7317388,15135.1846188,10706.3517898,3679.6363087,12795.7072908,10738.0791855,5173.6778235,17446.131697,8197.3234963,3746.2040166,13994.8529017,4606.2619042,2886.7983369,17598.27233,4141.5735279,12710.6413656,12907.6263479,18327.5551849,9791.9772753,13632.8410869,10519.7647548,17183.591219,4077.6344674,14294.2766259
17382.4639131,720.3594446,2239.5515349,16057.4873176,3661.1196712,16348.8161219,2144.1553201,0.0,4156.4671929,14301.9950556,15616.1491263,5039.9093287,9756.4149381,9473.2610099,16874.8981466,13384.4395574,6451.2137395,16608.8675322,13314.7879266,19138.2894577,11263.9595929,18243.780356,1731.3604956,8533.1318379,18431.9199188,16756.7616054,11918.0251074,8671.9157772,1953.6810268,9120.2512717,15355.3231352,13472.1992766,3408.7892852,9131.1290968,18213.5813169,6379.3594484,16412.9667359,4229.3393163,6913.9006464,8844.6140675,19067.9502382,993.2553039,18355.3969259,12433.1819865,13393.8483401,16033.8228825,9822.0296803,9440.1981709,13378.9741944,7339.1322935,5398.878481,2275.5929862,17264.8821575,11612.6928811,13907.2703821,15502.2457116,15844.4617443,8861.1925739,3820.9776026,17225.5212726,9599.3647051,11998.3484932,14225.1021278,8189.7971456,2611.0861766,2283.5595471,4229.2037619,10020.2245792,13106.9777951,6167.794957,11096.6395086,11289.221251,19200.3313061,10252.3621189,9344.5609056,16425.9617872,10239.0233681,18828.4629313,16637.289131,10335.5638447,2514.1910839,12859.8980216,12526.5137956,2374.378756,14873.9820253,19094.9757453,10347.0156462,8380.9667941,17884.7664733,12584.8279443,5637.7647552,6769.322568,6968.3665592,1569.1520582,17783.5722728,4090.0222801,2325.3013396,1926.4824714,4265.7205906,16468.2649274,12147.4063554,12809.0971226,7496.0053576,16545.4644177,14609.6210643,2574.1363637,11149.0246387,7163.4763376,15427.337502,5145.025818,14977.2636181,6059.2675483,1631.3022404,6911.9937386,9537.2225976,5098.6334902,12439.4536301,9585.8286914,3218.2083638,17771.2767292,6063.4598706,3770.960922,7805.2587165,17573.9914678,10199.9346222,18487.5082892,18321.0799138,10057.4608858,2323.8519419,1832.836491,13464.6183784,9523.9491529,4032.5864962,18164.2889784,2131.0175034,4023.4310518,5013.4788171,6708.1017979,11294.7351871,14986.1892684,7768.674599,15323.3517479,18931.0412473,5786.0176651,9944.2730435,4057.1969758,1658.835186,3665.4031816,10468.2318916,5505.1280831,3597.8482158,1735.7797548,12185.682478,13922.6341913,8947.9894379,4797.9716153,11242.7280304,12748.3071349,7315.5539345,18936.298617,6123.3477215,2707.6966888,14390.859437,4491.5571056,1761.3493689,19477.8005712,5811.7872852,13931.4418118,14993.9789346,16708.4817998,11083.4984943,15736.735643,12577.0136905,18941.2420259,2088.0038446,16389.7200859
17787.7330687,4225.9825178,2201.7805355,14399.7009234,5358.4166148,13547.3742622,4886.2466908,4156.4671929,0.0,11558.3027343,18740.8420938,5049.1903251,13533.3445876,5331.1708016,18904.080713,14350.603893,2741.0108135,18783.6275291,15854.3403515,14988.5955018,14687.248146,17074.1433358,2442.087724,8134.1883078,17352.2810984,18748.8992985,9345.2718517,5453.6551551,5943.6576786,12821.1173791,14011.1589086,11612.3632467,4874.1150174,12883.3593687,14233.2032483,8849.0446931,12944.1623866,504.9968162,10298.5351875,12496.0091649,16764.4475712,3196.4284822,14252.0836361,10617.0775748,12915.9582948,13934.4621004,10951.4644293,5835.7197908,11251.1383696,5792.4745108,4088.6407981,1961.3707852,14648.5685657,14818.1955439,14846.244398,18341.8147588,15131.1946008,10439.4547248,1675.6216389,13069.6860833,5656.7010457,14115.5552028,13807.5161999,12335.3310277,2160.3150248,6192.778058,8368.518988,11425.9145822,13038.0147828,4375.1869274,13884.865087,11372.1245289,15045.6566752,13672.3521018,12096.9336309,17488.935499,10719.2494854,17088.386096,13637.67436,6299.8686199,6468.482561,10131.126366,16655.8848945,4917.9246093,10788.1392207,16324.7164218,10169.5417028,12532.5632729,17094.9987068,9223.0971243,9787.9834364,10907.9996914,9697.5335463,3274.5181321,13627.3232697,4885.7744507,2176.4971072,2587.053559,5053.3940248,15618.8008135,8011.970247,9056.4892487,7243.127724,12532.0158009,18683.940541,1875.5457943,12636.8150654,3070.796041,15379.6700332,2820.0482379,18530.6797858,10173.3428133,2898.2843769,3675.2536868,6060.3509185,1750.3649631,15390.2705828,8293.407998,5529.5048603,17213.2110073,10208.5407934,7847.9935523,7471.3087019,17060.7864437,10945.2976536,17428.4338267,17511.7459433,10507.7890272,3941.0883216,2448.5178998,13929.7474317,5370.2470051,4072.8815143,16822.5798824,6286.0530223,5999.4677617,6069.8473636,5451.3497051,7521.1034201,18093.9863923,4528.8437141,14388.5512251,15020.284344,9182.1008442,13985.4241585,1700.2995862,2619.4734206,5938.7130404,14405.508325,9661.3738086,6144.3934925,2471.6957157,9454.9922611,15722.2352219,10889.3356445,3572.0453937,13189.3173257,11347.361338,8294.8911965,16980.0554045,5391.6589656,1459.8051051,10296.7387129,8647.9916973,2398.7920236,16411.9301203,8946.2489046,17473.2021544,13431.6767873,13441.3282047,8130.3822863,15534.2769585,13760.2604756,16876.0677889,3211.4667478,14386.8121675
8163.3903438,13695.1455345,12414.8861336,9203.7993043,11072.4222671,2120.2850753,16188.2280209,14301.9950556,11558.3027343,0.0,9442.5726805,15729.3483,10983.1066892,7962.6082947,8077.5910287,5350.5860317,8819.3948974,7230.9020485,12261.5640173,5187.766241,13828.0254381,7454.8757849,13122.0906726,6209.8149184,7045.5126924,8374.6646533,10619.0370986,6120.0544095,14225.4856044,15455.6107568,2773.5508742,10679.2590712,11145.1824284,15337.5022331,5840.7924575,10158.943749,2273.1126013,11861.8511644,17972.266601,15798.9672684,5971.8968745,13563.8535403,4560.1898491,11328.7821418,11828.1169605,8928.9546973,15627.3775005,5782.0005858,1252.50022,6963.4793347,8915.4725891,13223.1589795,3224.447399,8905.6641072,5299.9822931,7445.7403781,9767.7552713,7739.9219165,10913.3374959,4611.0542939,8913.6460297,13748.0800283,11202.3442629,14333.5779826,11963.8954578,14006.0275398,15889.2099958,15595.482201,4036.1533318,8172.3522034,8429.0924701,13793.9235465,5371.9730021,14830.9674487,9118.1413128,9219.1877762,5772.7937676,6403.1700891,7780.6395947,5993.5186527,16335.5735346,9923.8397121,10633.4571817,12349.0130337,5749.3583139,5398.2834836,5050.2233453,14094.9784997,5613.715042,2473.6964495,14847.8430367,15221.7252576,18766.6738226,12753.168449,4767.5792402,16201.8420252,13606.8877386,12586.8539307,10233.1104747,9210.0561107,6419.7458889,3177.5047979,7140.7514083,5804.9291188,9751.6474921,12184.2115007,14576.7949179,8836.3466833,10286.7030318,13106.7096626,9922.8714148,14222.4057061,14138.4741349,7940.0913471,10130.0930493,12047.0988449,12993.4709483,4873.8878999,17060.9171913,5709.7629993,14597.1502211,14508.19884,15295.6690784,5517.7041439,15082.5698451,6712.4703701,7058.8274717,5842.7564057,12026.4544358,12845.4036993,12174.703557,7440.592329,10284.4382445,5416.2732008,15287.4951138,17534.2781319,9766.6518791,7599.2127164,4415.9729537,7734.1706931,7059.2546975,10102.780657,6001.2828407,11893.5191131,11793.7255166,10693.6318789,12968.9518528,11439.1518581,13732.3202865,15132.4922829,17657.7865471,13026.3232244,2183.5669151,6356.191231,8141.5029773,14235.0861024,7147.7699187,11572.6742124,17093.1851272,6420.1498579,8218.9861505,12494.107098,5836.1550685,15379.0827167,13306.4604374,6170.7680883,19221.0780422,11029.3043158,9980.7301287,2418.9175658,10407.8548981,9979.8295144,13159.4120661,6648.0666361,12225.10392,8777.9484038
