,fats,proteins,carbs,fruits_and_veggies
Wheat and products,2.73,15.1,71.2,0.0
Rice (Milled Equivalent),3.225,7.065,77.65,0.0
Barley and products,2.3,12.0,73.0,0.0
Maize and products,4.74,9.42,74.26,0.0
Millet and products,4.3,11.0,73.0,0.0
"Cereals, Other",1.52,11.4,74.4,0.0
Potatoes and products,0.36,2.27,17.8,0.0
Sugar (Raw Equivalent),0.32,0.0,99.6,0.0
Honey,0.0,0.3,82.0,0.0
"Pulses, Other and products",6.0,20.0,61.0,0.0
Nuts and products,54.0,20.0,21.0,0.0
Coconuts - Incl Copra,0.0,0.0,0.0,100.0
Olives (including preserved),0.0,0.0,0.0,100.0
Oil,100.0,0.0,0.0,0.0
Tomatoes and products,0.42,0.7,3.84,100.0
"Vegetables, Other",0.0,0.0,0.0,100.0
"Oranges, Mandarines",0.15,0.91,11.8,100.0
"Citrus, Other",0.15,0.91,11.8,100.0
Bananas,0.29,0.74,23.0,100.0
Apples and products,0.1,0.1,14.7,100.0
Pineapples and products,0.21,0.46,14.1,100.0
Dates,0.4,2.5,75.0,100.0
Grapes and products (excl wine),0.4,0.6,17.0,100.0
"Fruits, Other",0.0,0.0,0.0,100.0
Bovine Meat,5.56,27.7,0.0,0.0
Mutton & Goat Meat,3.0,27.0,0.0,0.0
Poultry Meat,3.05,32.1,0.0,0.0
"Meat, Other",3.87,28.93,0.0,0.0
"Offals, Edible",6.56,23.7,0.0,0.0
"Butter, Ghee",81.5,0.0,0.0,0.0
Cream,35.6,2.0,3.8,0.0
"Fats, Animals, Raw",100.0,0.0,0.0,0.0
Eggs,9.96,12.4,1.0,0.0
Milk - Excluding Butter,3.2,3.27,4.63,0.0
Freshwater Fish,2.0,20.0,0.0,0.0
Cereals - Excluding Beer,0.0,0.0,100.0,0.0
Starchy Roots,0.0,0.0,100.0,0.0
Pulses,6.0,20.0,61.0,0.0
Treenuts,43.8,18.2,30.2,0.0
Vegetables,0.0,0.0,0.0,100.0
Fruits - Excluding Wine,0.0,0.0,0.0,100.0
Meat,3.87,28.93,0.0,0.0
Offals,4.83,16.9,0.73,0.0
Animal fats,100.0,0.0,0.0,0.0
"Fish, Seafood",4.4,20.5,0.0,0.0
Rye and products,1.63,10.3,75.9,0.0
Oats,0.0,13.2,69.9,0.0
Cassava and products,0.28,1.36,38.1,0.0
Sweet potatoes,0.0,1.58,17.3,100.0
"Roots, Other",0.75,1.82,17.8,0.0
Beans,1.12,25.6,41.3,0.0
Peas,0.28,1.97,7.41,100.0
Soyabeans,6.8,13.0,11.0,0.0
Groundnuts (Shelled Eq),49.4,24.0,22.7,0.0
Onions,0.1,0.94,9.93,100.0
"Lemons, Limes and products",0.3,1.1,9.32,100.0
Grapefruit and products,0.27,0.57,9.1,100.0
Plantains,0.29,0.74,23.0,100.0
Pimento,0.13,0.9,6.65,100.0
Pigmeat,36.5,40.9,2.1,0.0
Demersal Fish,1.33,18.6,0.0,0.0
Pelagic Fish,0.6,19.0,0.08,0.0
"Marine Fish, Other",1.0,18.8,0.04,0.0
Crustaceans,1.08,18.1,0.04,0.0
Cephalopods,0.8,12.3,0.0,0.0
"Molluscs, Other",1.04,14.9,2.2,0.0
"Aquatic Animals, Others",0.9,13.9,1.2,0.0
Aquatic Plants,0.0,0.0,0.0,100.0
Sorghum and products,3.0,11.0,72.0,0.0
Yams,0.2,1.5,28.0,0.0
Sugar cane,0.0,0.0,73.0,0.0
Sugar Crops,0.0,0.0,73.0,0.0
"Meat, Aquatic Mammals",0.5,26.5,0.0,0.0
Sugar beet,0.2,1.6,9.6,0.0
